delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.1,1000,exp,0,0,0,9,8.454451799858361,9.445446099853143,9.445446099853143,9.46215429995209,space,0.6563356001861393,10.227876289957203,10.53249519993551,10.53249519993551,10.53249519993551,10.53249519993551,100,1,[5.9602209001313895],[5.960225699935108],929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.1,1000,exp,0,1,1,3,16.488485999871045,17.487507699988782,17.487507699988782,17.504248699871823,space,2.2990938001312315,19.918435489968395,,20.218482399825007,20.218482399825007,20.218482399825007,250,2,"[5.9602209001313895, 5.694470200221986]","[5.960225699935108, 5.69447880005464]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,1000,exp,0,2,2,4,25.91320710000582,26.9117752998136,26.9117752998136,26.928396599832922,space,1.0529772001318634,28.393499789969063,,28.694081799825653,28.694081799825653,28.694081799825653,200,3,"[5.9602209001313895, 5.694470200221986, 8.424653200199828]","[5.960225699935108, 5.69447880005464, 8.42465820000507]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,0,3,3,11,37.11824829992838,38.117337099974975,38.117337099974975,38.13404329982586,space,0.9778296002186835,39.81564568981994,,40.115388199919835,40.115388199919835,40.115388199919835,500,4,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.1,400,unexp,0,4,4,0,44.71090909978375,45.71034979983233,45.71034979983233,45.72645669989288,space,0.8603974001016468,46.693193089892155,,47.008781999815255,47.008781999815255,47.008781999815255,250,5,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,0,5,5,8,56.73233519983478,57.73179270001128,57.73179270001128,57.73179270001128,space,0.9339354000985622,59.396400589938274,59.696666499832645,59.696666499832645,59.696666499832645,59.696666499832645,600,6,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,1000,exp,0,6,6,10,62.57667399989441,63.575907999882475,63.575907999882475,63.575907999882475,space,0.8489190002437681,64.84108488981147,,65.14101839996874,65.14101839996874,65.14101839996874,300,7,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,400,unexp,0,7,7,2,70.46912069991231,71.46838919981383,71.46838919981383,71.46838919981383,space,0.6804541002493352,72.86656779001933,73.16692539979704,73.16692539979704,73.16692539979704,73.16692539979704,500,8,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,1000,exp,0,8,8,7,77.14576340001076,78.14496709988452,78.14496709988452,78.14496709988452,space,2.1228672999422997,80.69256368998904,,80.99246279988438,80.99246279988438,80.99246279988438,250,9,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,400,unexp,0,9,9,1,85.30448659998365,86.30376109993085,86.30376109993085,86.30376109993085,space,0.7642413000576198,87.48567918988411,,87.78549579996616,87.78549579996616,87.78549579996616,200,10,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,0,10,10,5,92.98042099992745,93.97933089989237,93.97933089989237,93.99584499979392,space,1.1060383999720216,95.81082388989162,,96.11061949981377,96.11061949981377,96.11061949981377,400,11,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.1,1000,exp,0,11,11,6,98.17515429994091,99.17463119979948,99.17463119979948,99.17463119979948,space,2.2850968001876026,101.58848768982571,,101.88854029984213,101.88854029984213,101.88854029984213,250,12,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,400,unexp,1,0,12,1,104.76881579984911,105.76774319983087,105.76774319983087,105.76774319983087,space,0.7544072002638131,106.94980918986258,107.24984880001284,107.24984880001284,107.24984880001284,107.24984880001284,300,13,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.1,1000,exp,1,1,13,6,111.84532599989325,112.84433339978568,112.84433339978568,112.84433339978568,space,1.5834804000332952,114.55919238992502,,114.85922519979067,114.85922519979067,114.85922519979067,100,14,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,400,unexp,1,2,14,2,123.26726999995299,124.26623099995777,124.26623099995777,124.26623099995777,space,0.5987497000023723,125.58170488986653,,125.88166229985654,125.88166229985654,125.88166229985654,200,15,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,1,3,15,8,130.52678580000065,131.52604759996757,131.52604759996757,131.52604759996757,space,1.1092501000966877,133.35750318991487,,133.65729679982178,133.65729679982178,133.65729679982178,250,16,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.1,400,unexp,1,4,16,0,137.60325099993497,138.60226899990812,138.60226899990812,138.60226899990812,space,0.6541518000885844,139.38495978990105,,139.6847359999083,139.6847359999083,139.6847359999083,90,17,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,1,5,17,11,143.96384429978207,144.96275789989159,144.96275789989159,144.96275789989159,space,0.7643251002300531,146.4446278898744,,146.74482539994642,146.74482539994642,146.74482539994642,100,18,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,1000,exp,1,6,18,4,149.75804899982177,150.75723979994655,150.75723979994655,150.75723979994655,space,0.8457508001010865,152.02244598998223,,152.3223162998911,152.3223162998911,152.3223162998911,100,19,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,1000,exp,1,7,19,10,155.38590389979072,156.3852092998568,156.3852092998568,156.3852092998568,space,0.7992727002128959,157.60045159000438,,157.90021369978786,157.90021369978786,157.90021369978786,250,20,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
